"","MFG_DATE","PLANT_ID","PRODUCT_ID","ITEMS_PRODUCED","ITEMS_SAMPLED","ITEMS_DEFECTIVE","MFG_DEFECT_RATE"
"1",2020-01-01,"US1","LAP01",49930,650,12,0.0184615384615385
"2",2020-01-02,"US1","LAP01",49990,730,13,0.0178082191780822
"3",2020-01-03,"US1","LAP01",50070,370,7,0.0189189189189189
"4",2020-01-04,"US1","LAP01",49980,500,9,0.018
"5",2020-01-05,"US1","LAP01",50060,450,8,0.0177777777777778
"6",2020-01-06,"US1","LAP01",50060,580,10,0.0172413793103448
"7",2020-01-07,"US1","LAP01",50000,470,8,0.0170212765957447
"8",2020-01-08,"US1","LAP01",49960,550,10,0.0181818181818182
"9",2020-01-09,"US1","LAP01",50050,550,10,0.0181818181818182
"10",2020-01-10,"US1","LAP01",50000,410,7,0.0170731707317073
"11",2020-01-11,"US1","LAP01",50000,420,8,0.019047619047619
"12",2020-01-12,"US1","LAP01",49990,570,10,0.0175438596491228
"13",2020-01-13,"US1","LAP01",49900,460,8,0.0173913043478261
"14",2020-01-14,"US1","LAP01",50090,470,8,0.0170212765957447
"15",2020-01-15,"US1","LAP01",50050,560,10,0.0178571428571429
"16",2020-01-16,"US1","LAP01",49950,460,8,0.0173913043478261
"17",2020-01-17,"US1","LAP01",50050,450,8,0.0177777777777778
"18",2020-01-18,"US1","LAP01",49970,490,9,0.0183673469387755
"19",2020-01-19,"US1","LAP01",50100,610,11,0.0180327868852459
"20",2020-01-20,"US1","LAP01",50140,480,9,0.01875
"21",2020-01-21,"US1","LAP01",50030,440,8,0.0181818181818182
"22",2020-01-22,"US1","LAP01",50000,660,12,0.0181818181818182
"23",2020-01-23,"US1","LAP01",50030,390,7,0.0179487179487179
"24",2020-01-24,"US1","LAP01",49970,520,9,0.0173076923076923
"25",2020-01-25,"US1","LAP01",49970,640,12,0.01875
"26",2020-01-26,"US1","LAP01",50010,410,7,0.0170731707317073
"27",2020-01-27,"US1","LAP01",50000,500,9,0.018
"28",2020-01-28,"US1","LAP01",49980,440,8,0.0181818181818182
"29",2020-01-29,"US1","LAP01",49930,420,8,0.019047619047619
"30",2020-01-30,"US1","LAP01",49950,550,10,0.0181818181818182
"31",2020-01-31,"US1","LAP01",49980,570,10,0.0175438596491228
"32",2020-02-01,"US1","LAP01",49960,540,10,0.0185185185185185
"33",2020-02-02,"US1","LAP01",50050,480,9,0.01875
"34",2020-02-03,"US1","LAP01",50000,650,12,0.0184615384615385
"35",2020-02-04,"US1","LAP01",49920,380,7,0.0184210526315789
"36",2020-02-05,"US1","LAP01",50020,570,10,0.0175438596491228
"37",2020-02-06,"US1","LAP01",50040,470,8,0.0170212765957447
"38",2020-02-07,"US1","LAP01",50030,390,7,0.0179487179487179
"39",2020-02-08,"US1","LAP01",49990,460,8,0.0173913043478261
"40",2020-02-09,"US1","LAP01",49950,530,10,0.0188679245283019
"41",2020-02-10,"US1","LAP01",49970,580,10,0.0172413793103448
"42",2020-02-11,"US1","LAP01",50000,750,14,0.0186666666666667
"43",2020-02-12,"US1","LAP01",49970,530,10,0.0188679245283019
"44",2020-02-13,"US1","LAP01",49990,620,11,0.017741935483871
"45",2020-02-14,"US1","LAP01",49940,470,8,0.0170212765957447
"46",2020-02-15,"US1","LAP01",50080,570,10,0.0175438596491228
"47",2020-02-16,"US1","LAP01",49990,570,10,0.0175438596491228
"48",2020-02-17,"US1","LAP01",50010,620,11,0.017741935483871
"49",2020-02-18,"US1","LAP01",49920,440,8,0.0181818181818182
"50",2020-02-19,"US1","LAP01",50050,440,8,0.0181818181818182
"51",2020-02-20,"US1","LAP01",50000,410,7,0.0170731707317073
"52",2020-02-21,"US1","LAP01",49970,620,11,0.017741935483871
"53",2020-02-22,"US1","LAP01",50000,540,10,0.0185185185185185
"54",2020-02-23,"US1","LAP01",49970,750,14,0.0186666666666667
"55",2020-02-24,"US1","LAP01",50040,440,8,0.0181818181818182
"56",2020-02-25,"US1","LAP01",49970,650,12,0.0184615384615385
"57",2020-02-26,"US1","LAP01",50020,430,8,0.0186046511627907
"58",2020-02-27,"US1","LAP01",50010,500,9,0.018
"59",2020-02-28,"US1","LAP01",50000,440,8,0.0181818181818182
"60",2020-02-29,"US1","LAP01",50110,300,5,0.0166666666666667
"61",2020-03-01,"US1","LAP01",50050,440,8,0.0181818181818182
"62",2020-03-02,"US1","LAP01",50000,370,7,0.0189189189189189
"63",2020-03-03,"US1","LAP01",49980,540,10,0.0185185185185185
"64",2020-03-04,"US1","LAP01",50000,410,7,0.0170731707317073
"65",2020-03-05,"US1","LAP01",49920,450,8,0.0177777777777778
"66",2020-03-06,"US1","LAP01",49970,530,10,0.0188679245283019
"67",2020-03-07,"US1","LAP01",50080,530,10,0.0188679245283019
"68",2020-03-08,"US1","LAP01",50030,650,12,0.0184615384615385
"69",2020-03-09,"US1","LAP01",50030,390,7,0.0179487179487179
"70",2020-03-10,"US1","LAP01",49990,550,10,0.0181818181818182
"71",2020-03-11,"US1","LAP01",50050,500,9,0.018
"72",2020-03-12,"US1","LAP01",50070,510,9,0.0176470588235294
"73",2020-03-13,"US1","LAP01",49890,550,10,0.0181818181818182
"74",2020-03-14,"US1","LAP01",50050,470,8,0.0170212765957447
"75",2020-03-15,"US1","LAP01",50030,530,10,0.0188679245283019
"76",2020-03-16,"US1","LAP01",50090,480,9,0.01875
"77",2020-03-17,"US1","LAP01",49960,600,11,0.0183333333333333
"78",2020-03-18,"US1","LAP01",50040,410,7,0.0170731707317073
"79",2020-03-19,"US1","LAP01",50050,540,10,0.0185185185185185
"80",2020-03-20,"US1","LAP01",50010,520,9,0.0173076923076923
"81",2020-03-21,"US1","LAP01",50030,420,8,0.019047619047619
"82",2020-03-22,"US1","LAP01",50060,570,10,0.0175438596491228
"83",2020-03-23,"US1","LAP01",49910,490,9,0.0183673469387755
"84",2020-03-24,"US1","LAP01",49960,640,12,0.01875
"85",2020-03-25,"US1","LAP01",50040,410,7,0.0170731707317073
"86",2020-03-26,"US1","LAP01",50050,350,6,0.0171428571428571
"87",2020-03-27,"US1","LAP01",50010,570,10,0.0175438596491228
"88",2020-03-28,"US1","LAP01",49940,550,10,0.0181818181818182
"89",2020-03-29,"US1","LAP01",49990,520,9,0.0173076923076923
"90",2020-03-30,"US1","LAP01",50020,510,9,0.0176470588235294
"91",2020-03-31,"US1","LAP01",49980,440,8,0.0181818181818182
"92",2020-04-01,"US1","LAP01",50010,510,9,0.0176470588235294
"93",2020-04-02,"US1","LAP01",49990,320,6,0.01875
"94",2020-04-03,"US1","LAP01",50110,640,12,0.01875
"95",2020-04-04,"US1","LAP01",50000,490,9,0.0183673469387755
"96",2020-04-05,"US1","LAP01",50010,650,12,0.0184615384615385
"97",2020-04-06,"US1","LAP01",50080,500,9,0.018
"98",2020-04-07,"US1","LAP01",50040,420,8,0.019047619047619
"99",2020-04-08,"US1","LAP01",50040,440,8,0.0181818181818182
"100",2020-04-09,"US1","LAP01",50080,640,12,0.01875
"101",2020-04-10,"US1","LAP01",50040,560,10,0.0178571428571429
"102",2020-04-11,"US1","LAP01",49970,510,9,0.0176470588235294
"103",2020-04-12,"US1","LAP01",50000,530,10,0.0188679245283019
"104",2020-04-13,"US1","LAP01",49980,750,14,0.0186666666666667
"105",2020-04-14,"US1","LAP01",49930,480,9,0.01875
"106",2020-04-15,"US1","LAP01",50010,660,12,0.0181818181818182
"107",2020-04-16,"US1","LAP01",50000,610,11,0.0180327868852459
"108",2020-04-17,"US1","LAP01",50050,390,7,0.0179487179487179
"109",2020-04-18,"US1","LAP01",50060,500,9,0.018
"110",2020-04-19,"US1","LAP01",50000,530,10,0.0188679245283019
"111",2020-04-20,"US1","LAP01",50000,480,9,0.01875
"112",2020-04-21,"US1","LAP01",50070,500,9,0.018
"113",2020-04-22,"US1","LAP01",50000,470,8,0.0170212765957447
"114",2020-04-23,"US1","LAP01",50030,540,10,0.0185185185185185
"115",2020-04-24,"US1","LAP01",50070,670,12,0.017910447761194
"116",2020-04-25,"US1","LAP01",50050,470,8,0.0170212765957447
"117",2020-04-26,"US1","LAP01",50070,520,9,0.0173076923076923
"118",2020-04-27,"US1","LAP01",50010,400,7,0.0175
"119",2020-04-28,"US1","LAP01",50020,510,9,0.0176470588235294
"120",2020-04-29,"US1","LAP01",50060,440,8,0.0181818181818182
"121",2020-04-30,"US1","LAP01",49890,490,9,0.0183673469387755
"122",2020-05-01,"US1","LAP01",49990,660,12,0.0181818181818182
"123",2020-05-02,"US1","LAP01",50010,470,8,0.0170212765957447
"124",2020-05-03,"US1","LAP01",49990,500,9,0.018
"125",2020-05-04,"US1","LAP01",50050,480,9,0.01875
"126",2020-05-05,"US1","LAP01",50000,700,13,0.0185714285714286
"127",2020-05-06,"US1","LAP01",50030,490,9,0.0183673469387755
"128",2020-05-07,"US1","LAP01",49900,480,9,0.01875
"129",2020-05-08,"US1","LAP01",50040,680,12,0.0176470588235294
"130",2020-05-09,"US1","LAP01",49980,400,7,0.0175
"131",2020-05-10,"US1","LAP01",50020,700,13,0.0185714285714286
