"","MFG_DATE","PLANT_ID","PRODUCT_ID","RETURNS_RECEIVED"
"1",2020-01-01,"US1","LAP01",7
"2",2020-01-02,"US1","LAP01",8
"3",2020-01-03,"US1","LAP01",4
"4",2020-01-04,"US1","LAP01",5
"5",2020-01-05,"US1","LAP01",5
"6",2020-01-06,"US1","LAP01",6
"7",2020-01-07,"US1","LAP01",5
"8",2020-01-08,"US1","LAP01",6
"9",2020-01-09,"US1","LAP01",6
"10",2020-01-10,"US1","LAP01",4
"11",2020-01-11,"US1","LAP01",5
"12",2020-01-12,"US1","LAP01",6
"13",2020-01-13,"US1","LAP01",5
"14",2020-01-14,"US1","LAP01",5
"15",2020-01-15,"US1","LAP01",6
"16",2020-01-16,"US1","LAP01",5
"17",2020-01-17,"US1","LAP01",5
"18",2020-01-18,"US1","LAP01",5
"19",2020-01-19,"US1","LAP01",7
"20",2020-01-20,"US1","LAP01",5
"21",2020-01-21,"US1","LAP01",5
"22",2020-01-22,"US1","LAP01",7
"23",2020-01-23,"US1","LAP01",4
"24",2020-01-24,"US1","LAP01",5
"25",2020-01-25,"US1","LAP01",7
"26",2020-01-26,"US1","LAP01",4
"27",2020-01-27,"US1","LAP01",5
"28",2020-01-28,"US1","LAP01",5
"29",2020-01-29,"US1","LAP01",5
"30",2020-01-30,"US1","LAP01",6
"31",2020-01-31,"US1","LAP01",6
"32",2020-02-01,"US1","LAP01",6
"33",2020-02-02,"US1","LAP01",5
"34",2020-02-03,"US1","LAP01",7
"35",2020-02-04,"US1","LAP01",4
"36",2020-02-05,"US1","LAP01",6
"37",2020-02-06,"US1","LAP01",5
"38",2020-02-07,"US1","LAP01",4
"39",2020-02-08,"US1","LAP01",5
"40",2020-02-09,"US1","LAP01",6
"41",2020-02-10,"US1","LAP01",6
"42",2020-02-11,"US1","LAP01",8
"43",2020-02-12,"US1","LAP01",6
"44",2020-02-13,"US1","LAP01",7
"45",2020-02-14,"US1","LAP01",5
"46",2020-02-15,"US1","LAP01",6
"47",2020-02-16,"US1","LAP01",6
"48",2020-02-17,"US1","LAP01",7
"49",2020-02-18,"US1","LAP01",5
"50",2020-02-19,"US1","LAP01",5
"51",2020-02-20,"US1","LAP01",4
"52",2020-02-21,"US1","LAP01",7
"53",2020-02-22,"US1","LAP01",6
"54",2020-02-23,"US1","LAP01",8
"55",2020-02-24,"US1","LAP01",5
"56",2020-02-25,"US1","LAP01",7
"57",2020-02-26,"US1","LAP01",5
"58",2020-02-27,"US1","LAP01",5
"59",2020-02-28,"US1","LAP01",5
"60",2020-02-29,"US1","LAP01",3
"61",2020-03-01,"US1","LAP01",5
"62",2020-03-02,"US1","LAP01",4
"63",2020-03-03,"US1","LAP01",6
"64",2020-03-04,"US1","LAP01",4
"65",2020-03-05,"US1","LAP01",5
"66",2020-03-06,"US1","LAP01",6
"67",2020-03-07,"US1","LAP01",6
"68",2020-03-08,"US1","LAP01",7
"69",2020-03-09,"US1","LAP01",4
"70",2020-03-10,"US1","LAP01",6
"71",2020-03-11,"US1","LAP01",5
"72",2020-03-12,"US1","LAP01",5
"73",2020-03-13,"US1","LAP01",6
"74",2020-03-14,"US1","LAP01",5
"75",2020-03-15,"US1","LAP01",6
"76",2020-03-16,"US1","LAP01",5
"77",2020-03-17,"US1","LAP01",7
"78",2020-03-18,"US1","LAP01",4
"79",2020-03-19,"US1","LAP01",6
"80",2020-03-20,"US1","LAP01",5
"81",2020-03-21,"US1","LAP01",5
"82",2020-03-22,"US1","LAP01",6
"83",2020-03-23,"US1","LAP01",5
"84",2020-03-24,"US1","LAP01",7
"85",2020-03-25,"US1","LAP01",4
"86",2020-03-26,"US1","LAP01",4
"87",2020-03-27,"US1","LAP01",6
"88",2020-03-28,"US1","LAP01",6
"89",2020-03-29,"US1","LAP01",5
"90",2020-03-30,"US1","LAP01",5
"91",2020-03-31,"US1","LAP01",5
"92",2020-04-01,"US1","LAP01",5
"93",2020-04-02,"US1","LAP01",4
"94",2020-04-03,"US1","LAP01",7
"95",2020-04-04,"US1","LAP01",5
"96",2020-04-05,"US1","LAP01",7
"97",2020-04-06,"US1","LAP01",5
"98",2020-04-07,"US1","LAP01",5
"99",2020-04-08,"US1","LAP01",5
"100",2020-04-09,"US1","LAP01",7
"101",2020-04-10,"US1","LAP01",6
"102",2020-04-11,"US1","LAP01",5
"103",2020-04-12,"US1","LAP01",6
"104",2020-04-13,"US1","LAP01",8
"105",2020-04-14,"US1","LAP01",5
"106",2020-04-15,"US1","LAP01",7
"107",2020-04-16,"US1","LAP01",7
"108",2020-04-17,"US1","LAP01",4
"109",2020-04-18,"US1","LAP01",5
"110",2020-04-19,"US1","LAP01",6
"111",2020-04-20,"US1","LAP01",5
"112",2020-04-21,"US1","LAP01",5
"113",2020-04-22,"US1","LAP01",5
"114",2020-04-23,"US1","LAP01",6
"115",2020-04-24,"US1","LAP01",7
"116",2020-04-25,"US1","LAP01",5
"117",2020-04-26,"US1","LAP01",5
"118",2020-04-27,"US1","LAP01",4
"119",2020-04-28,"US1","LAP01",5
"120",2020-04-29,"US1","LAP01",5
"121",2020-04-30,"US1","LAP01",5
"122",2020-05-01,"US1","LAP01",7
"123",2020-05-02,"US1","LAP01",5
"124",2020-05-03,"US1","LAP01",5
"125",2020-05-04,"US1","LAP01",5
"126",2020-05-05,"US1","LAP01",8
"127",2020-05-06,"US1","LAP01",5
"128",2020-05-07,"US1","LAP01",5
"129",2020-05-08,"US1","LAP01",7
"130",2020-05-09,"US1","LAP01",4
"131",2020-05-10,"US1","LAP01",8
"132",2020-05-11,"US1","LAP01",5
"133",2020-05-12,"US1","LAP01",5
"134",2020-05-13,"US1","LAP01",7
"135",2020-05-14,"US1","LAP01",4
"136",2020-05-15,"US1","LAP01",5
"137",2020-05-16,"US1","LAP01",5
